site,year,month,day,location,depth,temp,salinity,ph,secchi,lat,long,,,,,,,,,
nam1,2015,6,16,d0,0,15.7,17.7,8.2,n/a,,,,,,,,,,,
nam1,2015,6,16,d1,1,15.7,17.8,8.2,n/a,,,,,,,,,,,
nam1,2015,6,16,d5,5,10.5,27,7.8,n/a,,,,,,,,,,,
nam1,2015,6,16,d10,10,9.6,27.5,7.8,n/a,,,,,,,,,,,
nam2,2015,6,16,a0,0,15.8,17.4,8.2,n/a,,,,,,,,,,,
nam2,2015,6,16,b0,0,15.9,17.3,8.2,n/a,,,,,,,,,,,
nam2,2015,6,16,b1,1,15.8,17.4,8.2,n/a,,,,,,,,,,,
nam2,2015,6,16,c0,0,15.8,17.3,8.2,n/a,,,,,,,,,,,
nam2,2015,6,16,c1,1,15.9,17.5,8.2,n/a,,,,,,,,,,,
nam2,2015,6,16,c3,3,10.9,23.9,8,n/a,,,,,,,,,,,
nam2,2015,6,16,d0,0,15.9,17.4,8.2,n/a,,,,,,,,,,,
nam2,2015,6,16,d1,1,15.9,17.5,8.2,n/a,,,,,,,,,,,
nam2,2015,6,16,d5,5,9.4,27.6,7.8,n/a,,,,,,,,,,,
nam2,2015,6,16,d10,10,9.1,27.9,7.6,n/a,,,,,,,,,,,
ris2,2015,8,16,a0,0,16,16.7,8.4,4.6,,,,,,,,,,,
ris2,2015,8,16,b0,0,16.1,17.1,8.4,4.6,,,,,,,,,,,
ris2,2015,8,16,b1,1,14.3,23.4,8.2,4.6,,,,,,,,,,,
ris2,2015,8,16,c0,0,15,20.1,8.3,4.6,,,,,,,,,,,
ris2,2015,8,16,c1,1,14.5,22.5,8.2,4.6,,,,,,,,,,,
ris2,2015,8,16,c3,3,13.4,25.2,8.1,4.6,,,,,,,,,,,
ris2,2015,8,16,d0,0,15.4,20.6,8.2,4.6,,,,,,,,,,,
ris2,2015,8,16,d1,1,14.2,23.6,8.1,4.6,,,,,,,,,,,
ris2,2015,8,16,d5,5,11.3,29.5,7.9,4.6,,,,,,,,,,,
ris2,2015,8,16,d10,10,10.4,30.7,7.9,4.6,,,,,,,,,,,
kis1,2015,6,17,a0,0,11.9,31.1,8,3,-128.22926,51.81106,,,,,,,,,
