site,year,month,day,net_extent_set_1,net_width_set_1,depth_extent_set_1,net_extent_set_2,net_width_set_2,depth_extent_set_2,area_set1,vol_set1,area_set2,vol_set2,notes
chp,2016,8,3,40,6,1,30,8,3,236,118,233,350,
ppo,2016,8,3,30,9,3,25,9,3,261,392,216,324,
pba,2016,8,4,25,7,1.5,30,6,3,170,127,176,264,
hdo,2016,8,4,25,7,3,20,6,3,170,255,116,174,
hab4,2016,8,5,45,8,3,25,8,3,353,530,193,290,
hab2,2016,8,5,45,15,3,35,12,2.5,651,976,405,506,
wfb,2016,9,17,35,17,2.5,47,18,2.5,564,705,811,1014,
ssp,2016,9,17,40,15,2,42,15,2,576,576,606,606,
ppo,2016,9,18,30,9,3,30,9,3,261,392,261,392,
pba,2016,9,18,50,9,2.2,30,9,2.2,441,485,261,287,
chp,2016,9,19,25,8,1.5,25,6,1.5,193,145,146,110,
hdo,2016,9,19,25,10,3,40,8,3,239,359,313,470,
ppo,2016,11,15,20,9,3,20,9,3,171,257,171,257,night sampling
hdo,2016,11,15,25,9,3,25,8,3,216,324,193,290,night sampling
chp,2016,11,16,20,7,1.5,30,8,1.5,135,101,233,175,night sampling
pba,2016,11,17,25,6,2,20,8,2,146,146,153,153,
ssp,2016,11,18,30,17,3,35,15,3,479,718,501,751,
wfb,2016,11,18,30,17,3,30,15,3,479,718,426,639,
wfb,2017,3,30,30,20,2,32,10,2,557,557,309,309,
ssp,2017,3,30,30,20,3,32,15,3,557,836,456,684,
hdo,2017,3,31,30,9,3,25,10,3,261,392,239,359,
ppo,2017,3,31,30,8,3,35,8,3,233,350,273,410,
chp,2017,4,1,22,7,2,26,9,2,149,149,225,225,
ppa,2017,4,1,21,9,2,45,9,2,180,180,396,396,
ppo,2017,5,24,25,6,3,20,7,3,146,219,135,202,
pba,2017,5,24,17,8,2,35,9,2,129,129,306,306,
hdo,2017,5,25,40,7,3,30,8,3,275,412,233,350,
chp,2017,5,25,20,7,2.8,40,9,2.8,135,189,351,492,
wfb,2017,5,26,30,15,2.4,na,na,na,426,511,n/a,n/a,did not do rep 2 because of swell
ssp,2017,5,26,35,15,2.5,35,12,2.5,501,626,405,506,
ppo,2017,6,11,30,8,3,23,9,3,233,350,198,297,
pba,2017,6,11,20,9,3,30,10,3,171,257,289,434,
chp,2017,6,12,25,8,2,20,8,2,193,193,153,153,
hdo,2017,6,12,30,8,3,35,8,3,233,350,273,410,
wfb,2017,6,13,40,18,2,35,17,2,685,685,564,564,
ssp,2017,6,13,40,17,3,25,17,3,649,973,394,591,
wfb,2017,7,8,37,12,2,32,12,2,429,429,369,369,
ssp,2017,7,8,34,16,1.5,-,-,1.5,517,387,n/a,n/a,
pba,2017,7,9,17,5,3,20,6,3,82,123,116,174,
ppo,2017,7,9,20,6,3,18,5,3,116,174,87,131,
chp,2017,7,10,20,5,1.2,25,4,1.2,97,58,98,59,
hdo,2017,7,10,30,6,3,25,7,3,176,264,170,255,
hab4,2017,7,20,25,10,3,30,10,3,239,359,289,434,
hab2,2017,7,21,31,10,2,37,10,2,299,299,359,359,
fei3,2017,7,22,30,10,3,30,10,3,289,434,289,434,
fei4,2017,7,22,20,10,3,20,10,3,189,284,189,284,
sni1,2017,7,23,20,10,3,20,10,3,189,284,189,284,
sni2,2017,7,23,19,9,3,22,10,3,162,243,209,314,
kis1,2017,7,24,25,6,3,25,6,3,146,219,146,219,
kis2,2017,7,24,25,5,3,30,4,3,122,183,118,177,
ris3,2017,7,25,15,9,3,15,9,3,126,189,126,189,
ris1,2017,7,25,18,7,3,18,7,3,121,181,121,181,
gog4,2017,7,26,40,9,1.5,30,9,1.5,351,263,261,196,
gog1,2017,7,26,50,8,1.5,50,8,1.5,393,295,393,295,
koe3,2017,7,27,20,7,3,20,9,3,135,202,171,257,
koe1,2017,7,27,30,6,2,30,7,2,176,176,205,205,
fan1,2017,7,28,25,9,1.3,60,8,1.3,216,141,473,308,
fan3,2017,7,28,45,8,2.3,30,10,2.3,353,406,289,333,
ppo,2017,8,23,25,10,3,20,10,3,239,359,189,284,
hdo,2017,8,23,25,9,2.5,25,10,2.5,216,270,239,299,
pba,2017,8,24,20,10,2,15,10,2,189,189,139,139,
chp,2017,8,24,15,8,3,15,7,3,113,170,100,150,
wfb,2017,8,25,35,18,3,35,18,3,595,893,595,893,
ssp,2017,8,25,50,18,1.7,30,18,1.7,865,735,505,429,
hdo,2018,3,19,30,8,2,25,7,2,233,233,170,170,
ppo,2018,3,19,20,4,3,25,6,3,78,117,146,219,
chp,2018,3,20,40,7,3,30,8,3,275,412,233,350,
pba,2018,3,20,30,5,1.5,30,5,1.5,147,110,147,110,
wfb,2018,3,21,40,15,1,40,15,1,576,288,576,288,
ssp,2018,3,21,35,15,3,30,15,3,501,751,426,639,
chp,2018,5,29,20,6,1,40,6,1,116,58,236,118,
ppo,2018,5,29,35,7,3,25,5,3,240,360,122,183,
pba,2018,5,30,40,6,1.2,30,8,1.2,236,142,233,140,
hdo,2018,5,30,40,8,3,30,7,3,313,470,205,307,
wfb,2018,5,31,35,12,2,35,12,2,405,405,405,405,
ssp,2018,5,31,35,12,2,35,12,2,405,405,405,405,
chp,2018,7,10,26,7,2,40,5,2,177,177,197,197,
pba,2018,7,10,20,6,1,25,8,1,116,58,193,97,
hab4,2018,7,11,35,9,3,30,9,3,306,459,261,392,
hdo,2018,7,11,40,8,3,30,19,3,313,470,531,797,
ppo,2018,7,11,25,6,3,25,6,3,146,219,146,219,
hab2,2018,7,12,30,15,1,32,12,1,426,213,369,184,
ssp,2018,7,12,35,15,2,32,15,2,501,501,456,456,
wfb,2018,7,12,40,10,2,40,15,2,389,389,576,576,
kis1,2018,7,13,25,7,3,25,7,3,170,255,170,255,
kis2,2018,7,13,30,6,3,35,6,3,176,264,206,309,
gog1,2018,7,14,50,10,1,60,2,1,489,245,120,60,
gog4,2018,7,14,30,10,1,30,9,1,289,145,261,131,
fan1,2018,7,15,40,5,2,30,7,3,197,197,205,307,
fan3,2018,7,15,20,5,1,20,6,1,97,49,116,58,
sni1,2018,7,16,22,7,2.5,22,8,2.5,149,186,169,211,
sni2,2018,7,16,25,7,4,30,9,4,170,339,261,523,
fei4,2018,7,17,30,8,2.5,35,9,2.5,233,291,306,383,
fei3,2018,7,17,25,8,1.5,25,8,1.5,193,145,193,145,
koe3,2018,7,18,20,6,1.5,18,8,2.5,116,87,137,171,
koe1,2018,7,18,35,15,3,35,15,3,501,751,501,751,
ris3,2018,7,19,20,9,3,30,8,3,171,257,233,350,
ris1,2018,7,19,30,7,2,25,8,2,205,205,193,193,
ppo,2018,8,23,35,9,3,40,9,3,306,459,351,527,
hdo,2018,8,23,45,8,3,45,8,3,353,530,353,530,
ssp,2018,8,24,35,12,2,25,12,2,405,405,285,285,
wfb,2018,8,24,40,13,3,30,12,3,502,753,345,517,
chp,2018,8,25,23,6,1,26,9,1,134,67,225,113,
pba,2018,8,25,20,9,2,22,9,2,171,171,189,189,
